2024-01-12 12:25:32.573 +05:30 [INF]  TagNo : SYA916LK00005
2024-01-12 12:27:05.545 +05:30 [INF]  TagNo : PLG0120
2024-01-12 12:28:52.272 +05:30 [INF]  TagNo : PLG0183
2024-01-12 12:30:14.018 +05:30 [INF]  TagNo : ORG0369
2024-01-12 12:36:46.578 +05:30 [INF]  TagNo : PLG0089
2024-01-12 12:38:24.716 +05:30 [INF]  TagNo : SYA916LR00131
2024-01-12 12:41:05.370 +05:30 [INF]  TagNo : SYA916LR00132
2024-01-12 12:49:10.520 +05:30 [INF]  TagNo : SYA916LR00132
2024-01-12 12:49:42.335 +05:30 [INF]  TagNo : SYA916LR00133
2024-01-12 12:50:50.029 +05:30 [INF]  TagNo : ORG0325
